DAUID,total_area_km2,canopy_area_km2,canopy_proportion
35240402,0.2208752075959745,0.020611199152040956,9.331603748729924
35240403,0.20045162982486825,0.05651954747721262,28.196102733907903
35240404,0.10287008267169069,0.033995774576959625,33.0472900322798
35240405,0.08109687386812606,0.027320804808236124,33.689097378356735
35240406,0.04721143462880166,0.009611857944847332,20.359173620586297
35240409,0.010732911075623802,0.005756300857959769,53.63224215127684
35240410,0.01867283507229673,0.0073627982422961955,39.43053218104915
35240411,0.07791743124189869,0.011253905386155508,14.443373205178156
35240412,0.03831479179557313,0.011403456421460116,29.76254309902753
35240413,0.03609662596094661,0.013760821096969593,38.1221810366919
35240414,0.056904787108870564,0.007458499361645011,13.106980520593755
35240417,0.007334050556169078,4.1285440985548726E-4,5.629282300327374
35240420,0.040251430645983,0.010334130756664995,25.673946468027758
35240421,0.02690337500093058,0.008041741302284309,29.89119878827897
35240422,0.031166843559747325,0.005512656214681795,17.687566609412812
35240423,0.021357365401243195,0.0020390439968293803,9.547263712174392
35240425,0.040112409560873204,0.010029970335466478,25.004656776465506
35240427,0.04294049484320176,0.004837052327306823,11.264547241407987
35240428,0.02433978379732848,0.0029695078629273994,12.200222843611826
35240429,0.004911127869972996,8.127508262066281E-4,16.549168494997808
35240431,0.09770509795233147,0.019858411003372472,20.324846317702917
35240432,0.03698925074571936,0.013169106800100834,35.60252379976864
35240433,0.052493033996204946,0.013289108125645497,25.315945972195568
35240436,0.01939649174611865,0.0032157452665457524,16.57900463979132
35240437,0.0456422135685814,0.007701225192922229,16.873031763348788
35240438,0.05565971195042039,0.011650818218496983,20.93222873462784
35240439,0.04923263893436828,0.008136938089383115,16.527527805751824
35240440,0.027051331738786127,0.004384393946083851,16.20768244765384
35240441,0.0420886257314182,0.010308971261345399,24.493485073925772
35240442,0.03757841194744308,0.007712054998260383,20.522567608887815
35240443,0.06707039880953923,0.020272796008143693,30.226145017733742
35240444,0.04565551900383067,0.014280760405246421,31.279373702986952
35240445,0.013743906874634696,0.002091526702557828,15.217846873059662
35240446,0.047616754864117726,0.0032517816524026415,6.829070275120884
35240447,0.014867701040166968,0.0014777195006480416,9.93912573743443
35240448,0.05239457073813063,0.008602685148499292,16.419039276981056
35240449,0.049012505198274006,0.003955109176968593,8.069591956111383
35240450,0.14608611736369628,0.005220787753838884,3.5737740505767572
35240451,0.09172991469121451,0.009770060190799677,10.650898590376004
35240452,0.10614606745221138,0.007887552605805218,7.430847694245777
35240453,0.12463421088030024,0.01980647045988615,15.891680398176108
35240455,0.002504709917178807,0.0010987362145629584,43.866804975185545
35240459,0.026719222277239343,0.011470091859258395,42.928239977363205
35240460,0.035512976156226624,0.0176280193574307,49.63824850917181
35240461,0.02824755054984391,0.008007810509712793,28.348689899970964
35240462,0.017856354482735183,0.003519231085918469,19.708564193890282
35240463,0.060118780571712625,0.01788901337015256,29.75611481143346
35240464,0.01679679569230854,0.004293288472723026,25.560163684606675
35240465,0.012423748218252852,0.0017223574605752436,13.863428574999393
35240466,0.026772054876468696,0.006268315457136266,23.413650861166445
35240467,0.05154562217287888,0.01560773988919797,30.27946745283463
35240468,0.07613165263079598,0.04088541293400612,53.70356680982855
35240469,0.03016308273279623,0.007738509548432914,25.655565835181875
35240470,0.07940527754594248,0.03821217569811606,48.122967237293736
35240471,0.04758205418696753,0.019867359166088096,41.75389126333612
35240472,0.06638159870675897,0.030158301440149134,45.431719072289255
35240473,0.05048439198907072,0.02514324511150567,49.80399707883754
35240474,0.061758747862046236,0.029373116086646976,47.56106155561841
35240475,0.06173254464530014,0.015982999038873257,25.890717984666917
35240476,0.04859482864498135,0.016048751325749393,33.02563621120379
35240477,0.05762944198295935,0.024497514550940052,42.50867908487437
35240478,0.019458539190901018,0.003398381693834182,17.464731861389136
35240479,0.013960380278639488,0.003470976327908506,24.86304999312505
35240480,0.03412378821390206,0.006542649304196879,19.173279540902197
35240481,0.03602993077763787,0.0156601308288525,43.46422679938098
35240482,0.042579718422345085,0.012122695324541742,28.470585935533023
35240483,0.179449486619502,0.012294795388308702,6.851396245216421
35240484,0.3131507686660026,0.019021263153411554,6.07415502584925
35240485,0.02894221604834764,0.01359113373956706,46.95954766166912
35240486,0.054294637279725715,0.017164757954653557,31.614094530590204
35240487,0.0212657708692013,0.007005277014953229,32.94156162050444
35240488,0.04895064514806055,0.005713624935407732,11.67221579639203
35240489,0.031924073520551995,0.009947070499819393,31.15852522208889
35240490,0.017328265384897484,0.004109724447622018,23.716883117475014
35240491,0.052092887261407164,0.00986473076841551,18.936809393791773
35240492,0.025402991727195085,0.0022460012672718853,8.841483284299292
35240493,0.01919396544996075,0.004575415868301947,23.83778318362714
35240494,0.03401279005736227,0.009211283922099823,27.081823944948574
35240495,0.01495333727099407,0.003943222051040093,26.37018064649026
35240496,0.03889518964264487,0.012649495647735685,32.522005327534686
35240497,0.03450827860186469,0.005299095033200346,15.356010928096552
35240498,0.024675537146895014,0.007166911947696348,29.04460358869302
35240499,0.021843460516681817,0.00896837032396957,41.05746118899265
35240501,0.018428469022986223,0.006723283247965453,36.48313508615044
35240503,0.03100744530998496,0.008929046773778227,28.79646060652056
35240504,0.03731919354773152,0.007794329844863044,20.885579520613273
35240505,0.04098495457898337,0.008135726821592736,19.850520526780443
35240506,0.03865116208302464,0.012993100444853526,33.616325472811646
