DAUID,Province or territory,CISR Dimension 1 Scores,CISR Dimension 2 Scores,CISR Dimension 3 Scores,CISR Scores,CISR Quintiles,CISR Most Resilient Dimension
24490170,Quebec,-0.56898,-0.92424,-0.72105,-0.73809,1,Dimension 1
24490171,Quebec,-0.17102,-0.63702,-0.09518,-0.30107,2,Dimension 3
24490172,Quebec,-0.48253,-1.41345,-0.38121,-0.75906,1,Dimension 3
24490173,Quebec,-0.26572,-0.1822,-0.86441,-0.43745,2,Dimension 2
24490174,Quebec,0.31505,0.56027,-0.81239,0.02097,3,Dimension 2
24490175,Quebec,0.43493,0.55014,0.28887,0.42465,4,Dimension 2
24490176,Quebec,0.1693,0.52874,0.51173,0.40325,4,Dimension 2
24490177,Quebec,-0.7125,0.87859,1.44705,0.53771,5,Dimension 3
24490178,Quebec,-0.82514,-0.16566,1.16335,0.05752,3,Dimension 3
24490179,Quebec,-0.60057,-0.79819,0.55109,-0.28256,2,Dimension 3
24490180,Quebec,-0.95458,-1.25249,-0.5227,-0.90992,1,Dimension 3
24490181,Quebec,-0.81774,0.0855,1.15752,0.14176,3,Dimension 3
24490182,Quebec,-0.68157,0.22958,-0.57824,-0.34341,2,Dimension 2
24490183,Quebec,-0.9866,0.21328,0.39409,-0.12641,3,Dimension 3
24490184,Quebec,-0.9554,-0.3794,0.10878,-0.40867,2,Dimension 3
24490185,Quebec,-0.64803,0.92761,1.19698,0.49219,4,Dimension 3
24490186,Quebec,-0.49403,0.81338,1.45015,0.58983,5,Dimension 3
24490187,Quebec,-0.03616,-0.02013,1.79708,0.58026,5,Dimension 3
24490188,Quebec,-0.27984,0.25871,1.32812,0.43566,4,Dimension 3
24490189,Quebec,-0.46238,1.16745,0.85781,0.52096,4,Dimension 2
24490190,Quebec,-0.60384,0.45648,0.79493,0.21586,4,Dimension 3
24490191,Quebec,-0.33337,0.60017,1.14028,0.46903,4,Dimension 3
24490192,Quebec,-1.03366,0.24994,0.61433,-0.05646,3,Dimension 3
24490193,Quebec,-0.96163,0.59115,-0.12878,-0.16642,2,Dimension 2
24490194,Quebec,-0.63802,0.58864,0.90266,0.28443,4,Dimension 3
24490195,Quebec,-0.4185,0.29841,-0.56084,-0.22698,2,Dimension 2
24490196,Quebec,-0.7194,0.76486,0.3146,0.12002,3,Dimension 2
24490197,Quebec,-1.27368,0.39536,0.24207,-0.21208,2,Dimension 2
24490198,Quebec,-0.96186,0.0332,0.31327,-0.20513,2,Dimension 3
24490199,Quebec,-0.55321,-0.27883,0.38274,-0.14977,3,Dimension 3
24490200,Quebec,-1.18616,0.34461,0.893,0.01715,3,Dimension 3
24490201,Quebec,-0.89602,0.06524,0.94666,0.03863,3,Dimension 3
24490202,Quebec,-0.82451,0.01929,0.23415,-0.19035,2,Dimension 3
24490203,Quebec,-0.83279,0.79713,1.30376,0.4227,4,Dimension 3
24490204,Quebec,-0.35251,0.24517,0.18259,0.02508,3,Dimension 2
24490205,Quebec,-0.7401,-0.33385,0.06376,-0.33673,2,Dimension 3
24490206,Quebec,-0.45619,0.36187,1.06399,0.32323,4,Dimension 3
24490207,Quebec,-0.78346,0.37252,1.13609,0.24172,4,Dimension 3
24490208,Quebec,0.42783,1.13506,-0.35507,0.4026,4,Dimension 2
24490210,Quebec,0.09442,1.4829,1.37185,0.98306,5,Dimension 2
24490211,Quebec,0.16272,-0.20861,1.53434,0.49615,4,Dimension 3
24490212,Quebec,-0.48963,-1.82508,-0.35203,-0.88891,1,Dimension 3
24490213,Quebec,0.61363,0.07217,-1.43308,-0.24909,2,Dimension 1
24490214,Quebec,0.16662,-0.6576,0.90874,0.13925,3,Dimension 3
24490215,Quebec,-1.61153,1.02165,0.5127,-0.02573,3,Dimension 2
24490216,Quebec,-0.81052,0.38839,0.55879,0.04556,3,Dimension 3
24490217,Quebec,-0.93711,0.27039,-0.9404,-0.5357,2,Dimension 2
24490218,Quebec,-0.8751,0.46528,0.23395,-0.05862,3,Dimension 2
24490219,Quebec,-1.33259,0.46334,0.06341,-0.26861,2,Dimension 2
24490220,Quebec,-0.79547,-0.18971,-0.59959,-0.52825,2,Dimension 2
24490221,Quebec,-0.94274,0.11684,-0.45171,-0.42587,2,Dimension 2
24490222,Quebec,-1.1568,0.49561,0.17579,-0.1618,2,Dimension 2
24490223,Quebec,-0.86917,0.17225,0.08162,-0.2051,2,Dimension 2
24490224,Quebec,-1.2576,0.62249,0.50776,-0.04245,3,Dimension 2
24490225,Quebec,-1.36721,0.46397,0.4345,-0.15625,2,Dimension 2
24490226,Quebec,-1.32582,0.03394,0.60109,-0.23026,2,Dimension 3
24490227,Quebec,-1.02914,-0.33029,-0.55112,-0.63685,1,Dimension 2
24490228,Quebec,-1.51087,0.71334,-0.31771,-0.37174,2,Dimension 2
24490229,Quebec,-1.11733,0.039,0.25397,-0.27479,2,Dimension 3
24490230,Quebec,-0.579,0.23999,-0.19926,-0.17942,2,Dimension 2
24490231,Quebec,-1.02427,0.49791,0.91263,0.12876,3,Dimension 3
24490232,Quebec,-0.95202,0.16416,0.16892,-0.20631,2,Dimension 3
24490233,Quebec,-1.25931,0.0453,-0.60766,-0.60722,1,Dimension 2
24490234,Quebec,-1.0049,0.32968,-0.06922,-0.24815,2,Dimension 2
24490235,Quebec,-0.77871,-0.4235,0.26393,-0.31276,2,Dimension 3
24490236,Quebec,-0.42215,0.46485,1.26195,0.43488,4,Dimension 3
24490237,Quebec,-1.13926,0.56285,0.72923,0.05094,3,Dimension 3
24490238,Quebec,-0.33299,1.18498,0.12831,0.32677,4,Dimension 2
24490239,Quebec,0.07362,0.66714,0.56186,0.4342,4,Dimension 2
24490240,Quebec,-0.43189,1.44321,-0.3656,0.21524,4,Dimension 2
24490241,Quebec,-1.77184,0.67449,0.5046,-0.19758,2,Dimension 2
24490242,Quebec,-1.30255,0.19897,0.28069,-0.27429,2,Dimension 3
24490243,Quebec,-0.21677,-0.75294,0.63422,-0.11183,3,Dimension 3
24490244,Quebec,-0.72654,-0.17411,0.66941,-0.07708,3,Dimension 3
24490245,Quebec,-0.50879,-0.2502,1.05462,0.09855,3,Dimension 3
24490246,Quebec,-0.47767,0.55876,0.63935,0.24014,4,Dimension 3
24490247,Quebec,-1.01968,1.03167,0.52662,0.17954,4,Dimension 2
24490248,Quebec,-0.23899,0.53022,1.58762,0.62628,5,Dimension 3
24490249,Quebec,-0.1911,1.14652,1.81606,0.92383,5,Dimension 3
24490250,Quebec,0.10534,0.12138,1.29733,0.50802,4,Dimension 3
24490251,Quebec,0.10072,0.67652,0.42146,0.39956,4,Dimension 2
24490252,Quebec,-0.45966,-0.21387,0.07438,-0.19972,2,Dimension 3
24490253,Quebec,-0.20704,-0.76689,-0.04089,-0.33827,2,Dimension 3
24490254,Quebec,-0.51332,0.56332,1.03007,0.36002,4,Dimension 3
24490255,Quebec,-0.47582,0.40768,0.24765,0.05984,3,Dimension 2
24490256,Quebec,-0.2884,0.76986,1.61567,0.69904,5,Dimension 3
24490257,Quebec,-0.36328,-0.76299,-0.30031,-0.47553,2,Dimension 3
24490258,Quebec,0.39166,0.96613,0.43846,0.59875,5,Dimension 2
24490259,Quebec,0.16098,1.26536,1.34695,0.92443,5,Dimension 3
24490260,Quebec,0.51005,1.12118,-0.42823,0.401,4,Dimension 2
24490261,Quebec,0.51675,1.50034,-1.00152,0.33852,4,Dimension 2
24490262,Quebec,-0.90151,-0.75519,-0.45062,-0.70244,1,Dimension 3
24490263,Quebec,-0.48013,-0.29182,0.20419,-0.18925,2,Dimension 3
24490264,Quebec,-0.23359,-0.22556,-0.92058,-0.45991,2,Dimension 2
24490265,Quebec,-0.12734,-1.17656,-0.82703,-0.71031,1,Dimension 1
24490266,Quebec,-0.28953,-1.0994,-1.24895,-0.87929,1,Dimension 1
24490267,Quebec,-0.65681,0.05167,-1.36273,-0.65596,1,Dimension 2
24490268,Quebec,0.45143,0.3726,-0.89306,-0.02301,3,Dimension 1
24490269,Quebec,-0.75934,-0.71475,-1.91572,-1.12994,1,Dimension 2
24490270,Quebec,0.16556,-0.48338,-0.56666,-0.29483,2,Dimension 1
24490271,Quebec,-0.11854,-0.37929,-0.6013,-0.36638,2,Dimension 1
24490272,Quebec,0.46045,0.58136,0.56223,0.53468,5,Dimension 2
24490273,Quebec,0.07558,0.32259,0.82027,0.40614,4,Dimension 3
24490274,Quebec,1.06004,1.49288,0.50697,1.01996,5,Dimension 2
24490275,Quebec,-0.67027,-0.93562,0.12417,-0.49391,2,Dimension 3
24490276,Quebec,-0.23134,-1.37447,-1.10285,-0.90289,1,Dimension 1
24490277,Quebec,0.22017,0.05016,-0.59732,-0.109,3,Dimension 1
24490278,Quebec,-0.23042,-0.99441,-0.9203,-0.71504,1,Dimension 1
24490279,Quebec,0.36158,-1.2808,-0.62741,-0.51554,2,Dimension 1
24490280,Quebec,-0.66496,-2.18431,-0.0838,-0.97769,1,Dimension 3
24490281,Quebec,-0.75351,-1.18682,-0.36113,-0.76715,1,Dimension 3
24490282,Quebec,-0.6833,-1.70185,-1.2313,-1.20548,1,Dimension 1
24490283,Quebec,-1.00181,-2.35757,-1.70935,-1.68958,1,Dimension 1
24490284,Quebec,-0.84333,-2.64558,-1.27692,-1.58861,1,Dimension 1
24490285,Quebec,-1.27066,-2.91045,-0.79454,-1.65855,1,Dimension 3
24490286,Quebec,-0.53287,-1.27711,-1.25407,-1.02135,1,Dimension 1
24490287,Quebec,-1.01882,-2.28719,0.1097,-1.06544,1,Dimension 3
24490288,Quebec,-0.58974,-2.52996,-0.8148,-1.3115,1,Dimension 1
24490289,Quebec,-0.42629,-1.97081,-2.09122,-1.49611,1,Dimension 1
24490290,Quebec,-0.50434,-2.75485,-0.18161,-1.14693,1,Dimension 3
24490291,Quebec,0.13107,-1.29339,-1.00203,-0.72145,1,Dimension 1
24490292,Quebec,-0.69279,-2.15583,-1.47693,-1.44185,1,Dimension 1
24490293,Quebec,-0.41542,-2.38153,-2.64805,-1.815,1,Dimension 1
24490294,Quebec,-0.39689,-1.76464,-0.79013,-0.98388,1,Dimension 1
24490295,Quebec,-1.12199,-2.34939,-0.70885,-1.39341,1,Dimension 3
24490296,Quebec,-0.95081,-2.6643,-0.49608,-1.3704,1,Dimension 3
24490297,Quebec,0.05625,-2.02584,-1.23831,-1.0693,1,Dimension 1
24490298,Quebec,0.20003,-0.85957,0.27994,-0.12653,3,Dimension 3
24490299,Quebec,0.82064,-3.19262,-6.0284,-2.80013,1,Dimension 1
24490300,Quebec,0.3103,-0.28381,-0.69765,-0.22372,2,Dimension 1
24490301,Quebec,0.29745,-0.30459,-1.03077,-0.34597,2,Dimension 1
24490302,Quebec,-0.30972,-1.49433,-1.19263,-0.99889,1,Dimension 1
24490303,Quebec,-0.58234,-1.65068,-0.73417,-0.98906,1,Dimension 1
24490304,Quebec,-0.29526,-0.8887,-1.10195,-0.76197,1,Dimension 1
24490305,Quebec,-0.51339,-0.22111,-0.68465,-0.47305,2,Dimension 2
24490306,Quebec,-0.23471,-1.13099,-0.52576,-0.63049,1,Dimension 1
24490307,Quebec,-0.09207,-1.89185,-0.40954,-0.79782,1,Dimension 1
24490308,Quebec,-0.411,-2.70979,-0.21702,-1.1126,1,Dimension 3
24490309,Quebec,-0.24333,0.38789,-1.23877,-0.36474,2,Dimension 2
24490310,Quebec,-0.34876,-0.91462,0.07758,-0.39527,2,Dimension 3
24490311,Quebec,-1.21075,-1.97775,0.50928,-0.89307,1,Dimension 3
24490312,Quebec,-0.20044,0.10707,-0.71603,-0.2698,2,Dimension 2
24490313,Quebec,-0.66328,0.83467,-1.01802,-0.28221,2,Dimension 2
24490314,Quebec,-0.79054,0.43385,0.07836,-0.09278,3,Dimension 2
24490315,Quebec,-0.53376,-0.49098,0.63207,-0.13089,3,Dimension 3
24490316,Quebec,-0.75649,0.62595,0.34474,0.0714,3,Dimension 2
24490317,Quebec,-0.15691,0.24422,0.21198,0.09977,3,Dimension 2
24490318,Quebec,-0.28427,0.94768,1.33762,0.66701,5,Dimension 3
24490319,Quebec,-0.32371,-0.49811,1.90736,0.36185,4,Dimension 3
24500048,Quebec,0.23419,0.94831,-0.22643,0.31869,4,Dimension 2
24500049,Quebec,0.19066,0.24969,0.57085,0.33707,4,Dimension 3
24500050,Quebec,-0.71188,0.0764,0.33554,-0.09998,3,Dimension 3
24500051,Quebec,0.03479,-0.95692,-1.34615,-0.75609,1,Dimension 1
24500052,Quebec,-0.00735,0.4503,-0.24593,0.06568,3,Dimension 2
24500053,Quebec,0.35029,-0.39813,-0.67338,-0.24041,2,Dimension 1
24500054,Quebec,0.10676,0.95531,1.43198,0.83135,5,Dimension 3
24500055,Quebec,-0.15514,0.1802,0.4732,0.16609,3,Dimension 3
24500056,Quebec,-0.36157,0.76483,-0.503,-0.03325,3,Dimension 2
24500057,Quebec,-0.41016,0.27143,0.14032,0.00053,3,Dimension 2
24500058,Quebec,0.18421,0.41733,-1.44928,-0.28258,2,Dimension 2
24500059,Quebec,-0.33575,-1.29669,0.02475,-0.5359,2,Dimension 3
24500060,Quebec,-0.29489,-0.98949,-0.23947,-0.50795,2,Dimension 3
24500061,Quebec,-0.80895,-2.41923,0.73299,-0.83173,1,Dimension 3
24500062,Quebec,0.22862,-0.295,-0.26602,-0.1108,3,Dimension 1
24500063,Quebec,-0.69266,0.41737,0.05615,-0.07305,3,Dimension 2
24500064,Quebec,-0.84652,0.72778,-0.2252,-0.11465,3,Dimension 2
24500065,Quebec,-1.18493,0.72723,-0.12626,-0.19466,2,Dimension 2
24500066,Quebec,-1.47839,0.77146,0.0468,-0.22004,2,Dimension 2
24500067,Quebec,-1.79423,0.70863,-0.69861,-0.59474,1,Dimension 2
24500068,Quebec,-1.7383,0.41202,0.0484,-0.42596,2,Dimension 2
24500069,Quebec,-1.91453,0.62657,0.13153,-0.38548,2,Dimension 2
24500070,Quebec,-1.40862,0.617,0.11196,-0.22655,2,Dimension 2
24500072,Quebec,-0.36222,-1.62645,-1.14197,-1.04355,1,Dimension 1
24500075,Quebec,-0.66815,0.79518,-0.08581,0.01374,3,Dimension 2
24500076,Quebec,-0.52002,-0.0366,-0.00715,-0.18793,2,Dimension 3
24500077,Quebec,-0.89402,0.58327,-0.586,-0.29892,2,Dimension 2
24500080,Quebec,-0.86571,-0.13302,-0.70313,-0.56728,1,Dimension 2
24500081,Quebec,-0.61168,-0.45979,-1.20199,-0.75782,1,Dimension 2
24500082,Quebec,-1.55421,0.27255,0.5185,-0.25439,2,Dimension 3
24500084,Quebec,-0.96011,-0.07733,0.06137,-0.32535,2,Dimension 3
24500085,Quebec,-0.3535,0.15664,0.37502,0.05939,3,Dimension 3
24500086,Quebec,-0.65515,0.50472,0.47356,0.10771,3,Dimension 2
24500087,Quebec,-0.1645,0.62762,0.39822,0.28711,4,Dimension 2
24500088,Quebec,-0.85042,-0.88004,-0.41821,-0.71622,1,Dimension 3
24500089,Quebec,-0.59671,0.38341,0.1841,-0.00973,3,Dimension 2
24500090,Quebec,-0.67342,0.74583,0.55362,0.20867,4,Dimension 2
24500091,Quebec,-1.15209,1.14311,-0.15607,-0.05502,3,Dimension 2
24500092,Quebec,-0.81955,0.26686,0.45954,-0.03105,3,Dimension 3
24500093,Quebec,-0.96271,-0.21676,0.48868,-0.23026,2,Dimension 3
24500094,Quebec,-1.12466,-0.35838,0.52174,-0.32043,2,Dimension 3
24500095,Quebec,-1.01378,0.72518,0.17472,-0.03796,3,Dimension 2
24500096,Quebec,-1.11699,0.63539,-0.20245,-0.22802,2,Dimension 2
24500097,Quebec,-0.80115,0.89514,0.014,0.036,3,Dimension 2
24500098,Quebec,-0.56828,-0.01134,0.76578,0.06205,3,Dimension 3
24500099,Quebec,-0.8237,-1.18876,-1.50099,-1.17115,1,Dimension 1
24500100,Quebec,-0.68457,-0.18257,-0.04559,-0.30425,2,Dimension 3
24510043,Quebec,-0.31397,0.26355,-0.20644,-0.08562,3,Dimension 2
24510044,Quebec,0.37496,0.57896,-0.10835,0.28186,4,Dimension 2
24510045,Quebec,-0.9053,0.83148,0.24733,0.05783,3,Dimension 2
24510047,Quebec,-0.65373,0.35553,-0.18398,-0.16073,2,Dimension 2
24510048,Quebec,-0.35697,0.18483,0.40212,0.07666,3,Dimension 3
24510049,Quebec,-0.69804,-0.04346,-0.36478,-0.36876,2,Dimension 2
24510050,Quebec,-0.77594,0.35877,-0.10175,-0.17297,2,Dimension 2
24510051,Quebec,-0.24161,0.27302,-0.25118,-0.07326,3,Dimension 2
24510052,Quebec,-0.80111,0.17222,0.32978,-0.0997,3,Dimension 3
24510053,Quebec,-1.24791,0.54469,0.01028,-0.23098,2,Dimension 2
24510054,Quebec,-0.04233,-0.02168,0.31239,0.08279,3,Dimension 3
24510055,Quebec,-0.6964,0.96343,-0.13137,0.04522,3,Dimension 2
24510056,Quebec,0.14149,1.229,0.89744,0.75598,5,Dimension 2
24510057,Quebec,-0.02785,0.73306,-0.53848,0.05558,3,Dimension 2
24510058,Quebec,0.21223,0.73592,1.10819,0.68545,5,Dimension 3
24510060,Quebec,-0.11289,0.41981,0.22574,0.17756,4,Dimension 2
24510061,Quebec,-0.594,1.03474,0.71846,0.3864,4,Dimension 2
24510062,Quebec,-0.50159,0.54385,0.3212,0.12115,3,Dimension 2
24510063,Quebec,-0.2736,0.10433,0.33334,0.05469,3,Dimension 3
24510064,Quebec,0.04046,0.80495,0.57275,0.47272,4,Dimension 2
24510065,Quebec,-0.91028,0.7137,0.15583,-0.01359,3,Dimension 2
24510066,Quebec,-0.89258,0.65476,0.11012,-0.04257,3,Dimension 2
24510067,Quebec,-1.03528,0.95214,-0.44142,-0.17485,2,Dimension 2
24510068,Quebec,-0.68857,-0.73571,0.26968,-0.38486,2,Dimension 3
24510069,Quebec,-1.01605,-0.21685,-0.10218,-0.44502,2,Dimension 3
24510070,Quebec,-1.66513,-0.61859,-0.63537,-0.97303,1,Dimension 2
24510071,Quebec,-1.11928,-1.01208,-1.33582,-1.15573,1,Dimension 2
24510072,Quebec,-1.26339,-1.3894,-0.48103,-1.0446,1,Dimension 3
24510073,Quebec,-0.19368,1.59869,-1.36675,0.01275,3,Dimension 2
24510074,Quebec,-0.621,-1.08194,-1.52696,-1.07663,1,Dimension 1
24510075,Quebec,-0.69467,-0.31305,-0.00209,-0.3366,2,Dimension 3
24510076,Quebec,-0.93364,-1.18663,-2.0891,-1.40312,1,Dimension 1
24510077,Quebec,-1.15655,-0.32755,-0.91335,-0.79915,1,Dimension 2
24510078,Quebec,-1.4141,-1.32517,-1.97928,-1.57285,1,Dimension 2
24510079,Quebec,-0.6063,-2.13668,-1.32676,-1.35658,1,Dimension 1
24510080,Quebec,-1.0585,-0.54279,-0.66761,-0.7563,1,Dimension 2
24510081,Quebec,-0.62074,-0.00633,-0.28075,-0.30261,2,Dimension 2
24510082,Quebec,-0.40137,0.67488,0.85357,0.37569,4,Dimension 3
24510083,Quebec,-0.42252,-0.09191,0.70556,0.06371,3,Dimension 3
24510084,Quebec,-0.76551,0.18666,0.21897,-0.11996,3,Dimension 3
24510085,Quebec,-0.74708,0.31881,-1.0141,-0.48079,2,Dimension 2
24510086,Quebec,-1.02416,0.79039,-1.26128,-0.49835,2,Dimension 2
24510087,Quebec,-0.63586,0.23384,-0.74891,-0.38364,2,Dimension 2
24510088,Quebec,-0.94294,0.78575,0.14403,-0.00439,3,Dimension 2
24510089,Quebec,-1.29635,-0.36498,0.06372,-0.53254,2,Dimension 3
24510090,Quebec,-0.92841,-0.20761,-0.28684,-0.47428,2,Dimension 2
24510091,Quebec,-1.0975,0.31411,-0.52357,-0.43565,2,Dimension 2
24510092,Quebec,-1.35281,0.72854,0.49546,-0.04294,3,Dimension 2
24510093,Quebec,-1.21327,-0.14332,0.10834,-0.41608,2,Dimension 3
24510094,Quebec,-1.16173,-0.05934,-0.78128,-0.66745,1,Dimension 2
24510095,Quebec,-0.61257,-0.47671,-0.06632,-0.3852,2,Dimension 3
24510096,Quebec,-1.24543,0.5273,-0.13987,-0.286,2,Dimension 2
24510098,Quebec,-1.45207,-0.45709,-0.81261,-0.90725,1,Dimension 2
24510099,Quebec,-1.1187,0.24064,-1.09399,-0.65735,1,Dimension 2
24510101,Quebec,-1.16615,-0.10636,-0.57881,-0.61711,1,Dimension 2
24510102,Quebec,-1.01381,0.32162,-1.07718,-0.58979,1,Dimension 2
24510103,Quebec,0.06708,0.95563,0.78518,0.60263,5,Dimension 2
24510105,Quebec,-0.20223,0.67539,-0.74589,-0.09091,3,Dimension 2
24510106,Quebec,-1.17167,-0.65859,-0.3501,-0.72679,1,Dimension 3
24510108,Quebec,-1.56674,0.03188,-1.02059,-0.85182,1,Dimension 2
24520058,Quebec,-0.93894,-0.2378,-0.57501,-0.58392,1,Dimension 2
24520059,Quebec,-0.92158,0.15714,-0.90471,-0.55638,1,Dimension 2
24520060,Quebec,-1.06228,0.24479,-1.17634,-0.66461,1,Dimension 2
24520061,Quebec,-1.03774,-0.51909,-0.61981,-0.72555,1,Dimension 2
24520064,Quebec,-1.11409,-0.70459,-0.3266,-0.71509,1,Dimension 3
24520065,Quebec,-0.8997,-1.91405,-0.84469,-1.21948,1,Dimension 3
24520066,Quebec,-1.20156,-2.20699,-1.5593,-1.65595,1,Dimension 1
24520067,Quebec,-0.51526,-1.11688,-0.87257,-0.8349,1,Dimension 1
24520068,Quebec,-0.98639,0.52906,-0.55961,-0.33898,2,Dimension 2
24520069,Quebec,-0.52172,0.47178,-0.1396,-0.06318,3,Dimension 2
24520070,Quebec,-0.27219,0.0862,-0.59594,-0.26065,2,Dimension 2
24520071,Quebec,-1.08002,-0.33561,0.26249,-0.38438,2,Dimension 3
24520072,Quebec,-1.30883,0.30885,-0.34219,-0.44739,2,Dimension 2
24520073,Quebec,-0.92085,-0.20953,0.0738,-0.3522,2,Dimension 3
24520074,Quebec,-0.87466,-0.05977,-0.24447,-0.39296,2,Dimension 2
24520075,Quebec,-1.12876,0.21164,0.21932,-0.2326,2,Dimension 3
24520076,Quebec,-1.27591,-0.64828,-0.63735,-0.85385,1,Dimension 3
24520077,Quebec,-1.15246,0.06536,1.15586,0.02292,3,Dimension 3
24520078,Quebec,-0.99797,0.41112,-0.38119,-0.32268,2,Dimension 2
24520079,Quebec,-0.81434,-0.13102,-0.96311,-0.63616,1,Dimension 2
24520080,Quebec,-1.40225,-0.26924,-0.01647,-0.56265,1,Dimension 3
24520081,Quebec,-1.12248,-1.48395,-0.48886,-1.03176,1,Dimension 3
24520082,Quebec,-1.24327,-2.23693,-0.90207,-1.46076,1,Dimension 3
24520083,Quebec,-1.07811,-2.04888,-0.30383,-1.1436,1,Dimension 3
24520084,Quebec,-1.09926,-1.73164,-0.80934,-1.21341,1,Dimension 3
24520085,Quebec,-0.39824,0.22387,-0.02053,-0.06497,3,Dimension 2
24520086,Quebec,-0.15026,-0.18582,-0.53458,-0.29022,2,Dimension 1
24520087,Quebec,-0.76781,0.02465,0.40363,-0.11318,3,Dimension 3
24520088,Quebec,-0.09127,1.02331,-0.02629,0.30191,4,Dimension 2
24520089,Quebec,-0.82662,0.39051,-0.36488,-0.26699,2,Dimension 2
24520090,Quebec,-1.18639,0.2614,0.35356,-0.19048,2,Dimension 3
24520091,Quebec,-0.93753,0.98977,-0.46294,-0.1369,3,Dimension 2
24520092,Quebec,-0.29697,0.68795,-0.10833,0.09421,3,Dimension 2
24520093,Quebec,-1.1558,-0.00007,0.08315,-0.35757,2,Dimension 3
24520094,Quebec,-0.82989,0.63343,0.28322,0.02892,3,Dimension 2
24520095,Quebec,-0.38896,0.45028,0.01376,0.02503,3,Dimension 2
24520096,Quebec,-0.735,-0.01802,1.64731,0.2981,4,Dimension 3
24520097,Quebec,-0.31598,-0.20961,-0.08453,-0.20337,2,Dimension 3
24520098,Quebec,-0.58145,-0.13586,0.79585,0.02618,3,Dimension 3
24520099,Quebec,-0.21132,-0.12736,-0.60304,-0.31391,2,Dimension 2
24520100,Quebec,-0.1903,0.35161,0.28663,0.14931,3,Dimension 2
24520101,Quebec,-0.18859,0.43523,0.86351,0.37005,4,Dimension 3
24520102,Quebec,-0.90017,0.7632,1.24931,0.37078,4,Dimension 3
24520103,Quebec,-0.34922,0.88869,0.73862,0.42603,4,Dimension 2
24520104,Quebec,-0.77322,0.79731,1.65772,0.5606,5,Dimension 3
24520105,Quebec,-0.3675,0.10128,0.61151,0.1151,3,Dimension 3
24520106,Quebec,-0.61417,-0.41951,0.31401,-0.23989,2,Dimension 3
24520107,Quebec,-0.84396,-0.30323,0.56676,-0.19348,2,Dimension 3
24520108,Quebec,-0.73002,-0.79007,-0.03407,-0.51805,2,Dimension 3
24520109,Quebec,-0.33849,0.33738,0.48988,0.16292,3,Dimension 3
24520110,Quebec,-0.42794,-0.38442,1.32277,0.17014,4,Dimension 3
24520111,Quebec,-0.95959,-0.26066,1.19104,-0.00974,3,Dimension 3
24520112,Quebec,-0.43475,0.08389,1.08193,0.24369,4,Dimension 3
24520113,Quebec,-0.60022,0.2188,0.951,0.18986,4,Dimension 3
24520114,Quebec,-1.17215,0.71959,1.05586,0.2011,4,Dimension 3
24520115,Quebec,-0.56178,-0.24501,0.93938,0.0442,3,Dimension 3
24520116,Quebec,-0.65562,0.93614,0.65786,0.31279,4,Dimension 2
24520117,Quebec,-1.15921,0.26789,0.40482,-0.16217,2,Dimension 3
24520118,Quebec,-0.19549,0.7994,-0.09628,0.16921,4,Dimension 2
24520119,Quebec,-0.19992,-0.1205,-0.51894,-0.27979,2,Dimension 2
24520120,Quebec,-0.84113,0.47614,-0.45684,-0.27394,2,Dimension 2
24520121,Quebec,-0.59313,0.59269,-0.48228,-0.16091,2,Dimension 2
24520122,Quebec,-0.42591,0.67421,-1.03328,-0.26166,2,Dimension 2
24520123,Quebec,-1.09205,0.70126,0.33309,-0.01923,3,Dimension 2
24520124,Quebec,-0.87966,0.18837,-0.5885,-0.4266,2,Dimension 2
24520125,Quebec,-0.61818,0.01772,-0.65353,-0.418,2,Dimension 2
24520126,Quebec,-0.73446,-0.78518,-1.29921,-0.93962,1,Dimension 1
24530063,Quebec,-0.51259,0.80267,-0.11689,0.05773,3,Dimension 2
24530064,Quebec,-0.3137,0.79136,0.53604,0.3379,4,Dimension 2
24530065,Quebec,0.24571,1.01157,-0.56293,0.23145,4,Dimension 2
24530066,Quebec,0.12109,0.78268,-1.01465,-0.03696,3,Dimension 2
24530067,Quebec,-0.03747,-0.24495,-1.34663,-0.54302,1,Dimension 1
24530068,Quebec,-0.09125,-0.56485,-0.14644,-0.26751,2,Dimension 1
24530069,Quebec,-0.17058,-0.31588,-1.55111,-0.67919,1,Dimension 1
24530070,Quebec,-0.83277,-0.77642,-1.30112,-0.97011,1,Dimension 2
24530071,Quebec,-0.77796,-1.28595,-1.58248,-1.21546,1,Dimension 1
24530072,Quebec,-0.07829,-1.5501,-1.71673,-1.11504,1,Dimension 1
24530073,Quebec,0.12458,-0.76964,-2.07642,-0.90716,1,Dimension 1
24530074,Quebec,-0.57225,-2.25546,-1.35348,-1.39373,1,Dimension 1
24530075,Quebec,-1.58941,-3.24791,-0.96527,-1.9342,1,Dimension 3
24530076,Quebec,-0.61794,-1.46634,-1.467,-1.18376,1,Dimension 1
24530077,Quebec,-0.27351,0.74824,-0.31006,0.05489,3,Dimension 2
24530078,Quebec,0.30869,1.13307,-1.32907,0.03756,3,Dimension 2
24530079,Quebec,-0.74711,0.63004,-0.31662,-0.14456,3,Dimension 2
24530080,Quebec,0.10229,0.89207,0.37701,0.45712,4,Dimension 2
24530081,Quebec,-0.03036,0.57902,-0.7534,-0.06825,3,Dimension 2
24530082,Quebec,-0.12387,0.22339,0.22178,0.1071,3,Dimension 2
24530083,Quebec,-0.9203,0.3415,-0.43133,-0.33671,2,Dimension 2
