DAUID,Province or territory,CISR Dimension 1 Scores,CISR Dimension 2 Scores,CISR Dimension 3 Scores,CISR Scores,CISR Quintiles,CISR Most Resilient Dimension
10010242,Newfoundland & Labrador,-0.2022,-1.73675,-0.50345,-0.81413,1,Dimension 1
10010243,Newfoundland & Labrador,0.34804,-0.82658,1.19788,0.23978,4,Dimension 3
10010244,Newfoundland & Labrador,0.07912,-1.98242,-0.55261,-0.81863,1,Dimension 1
10010245,Newfoundland & Labrador,-0.33523,-1.05167,-0.04323,-0.47671,2,Dimension 3
10010246,Newfoundland & Labrador,0.78225,-0.91676,-0.31683,-0.15045,3,Dimension 1
10010247,Newfoundland & Labrador,0.67277,-1.00732,-0.21437,-0.18297,2,Dimension 1
10010248,Newfoundland & Labrador,0.96023,-0.25042,-1.35675,-0.21565,2,Dimension 1
10010249,Newfoundland & Labrador,1.12513,-1.71044,0.08098,-0.16811,2,Dimension 1
10010250,Newfoundland & Labrador,1.19258,-0.56609,-0.55798,0.02283,3,Dimension 1
10010251,Newfoundland & Labrador,1.72482,-0.17828,-0.54345,0.33436,4,Dimension 1
10010252,Newfoundland & Labrador,1.30046,-0.12102,-0.50042,0.22634,4,Dimension 1
10010253,Newfoundland & Labrador,1.53205,0.42584,-0.03857,0.63977,5,Dimension 1
10010254,Newfoundland & Labrador,1.44628,0.05118,-0.95392,0.18118,4,Dimension 1
10010255,Newfoundland & Labrador,1.61453,-0.12575,-1.11027,0.12617,3,Dimension 1
10010256,Newfoundland & Labrador,0.50569,-0.07395,-1.07472,-0.21433,2,Dimension 1
10010257,Newfoundland & Labrador,1.57392,0.92964,-1.2924,0.40372,4,Dimension 1
10010258,Newfoundland & Labrador,1.32259,0.4357,-0.68426,0.35801,4,Dimension 1
10010259,Newfoundland & Labrador,0.07649,-0.94474,-0.74597,-0.53807,1,Dimension 1
10010260,Newfoundland & Labrador,0.52802,0.9245,-0.89378,0.18625,4,Dimension 2
10010261,Newfoundland & Labrador,0.82888,0.62392,-0.32702,0.37526,4,Dimension 1
10010262,Newfoundland & Labrador,0.70629,-1.37542,-0.20342,-0.29085,2,Dimension 1
10010263,Newfoundland & Labrador,0.74945,0.60376,-1.01725,0.11199,3,Dimension 1
10010264,Newfoundland & Labrador,-0.04733,-0.00489,-1.91795,-0.65672,1,Dimension 2
10010265,Newfoundland & Labrador,0.34367,0.84563,-0.99511,0.06473,3,Dimension 2
10010266,Newfoundland & Labrador,0.16653,-0.33242,-1.32045,-0.49545,2,Dimension 1
10010267,Newfoundland & Labrador,0.87251,0.67899,-0.70733,0.28139,4,Dimension 1
10010268,Newfoundland & Labrador,0.85976,1.3944,-1.30101,0.31772,4,Dimension 2
10010269,Newfoundland & Labrador,0.57689,0.73546,0.12562,0.47933,4,Dimension 2
10010270,Newfoundland & Labrador,0.29584,0.44709,0.49501,0.41264,4,Dimension 3
10010271,Newfoundland & Labrador,0.97356,1.55771,1.60227,1.37785,5,Dimension 3
10010272,Newfoundland & Labrador,1.42119,2.01814,1.01792,1.48575,5,Dimension 2
10010273,Newfoundland & Labrador,0.58991,0.85796,0.2995,0.58246,5,Dimension 2
10010276,Newfoundland & Labrador,0.81436,-0.28176,-1.17064,-0.21268,2,Dimension 1
10010277,Newfoundland & Labrador,-0.0443,-0.8707,-0.85312,-0.58937,1,Dimension 1
10010278,Newfoundland & Labrador,-0.00357,0.01512,-0.12448,-0.03764,3,Dimension 2
10010279,Newfoundland & Labrador,1.03506,0.40341,-0.288,0.38349,4,Dimension 1
10010280,Newfoundland & Labrador,-0.94854,-1.07392,-0.78053,-0.93433,1,Dimension 3
10010281,Newfoundland & Labrador,-0.88789,-0.12843,-1.39911,-0.80514,1,Dimension 2
10010282,Newfoundland & Labrador,-0.53625,-1.70403,-0.44438,-0.89489,1,Dimension 3
10010283,Newfoundland & Labrador,0.80444,-1.40465,-1.91724,-0.83915,1,Dimension 1
10010284,Newfoundland & Labrador,1.21377,0.14664,-1.18835,0.05735,3,Dimension 1
10010285,Newfoundland & Labrador,1.26069,0.71499,-1.80025,0.05847,3,Dimension 1
10010286,Newfoundland & Labrador,0.92475,-0.48913,-2.35636,-0.64025,1,Dimension 1
10010290,Newfoundland & Labrador,1.04752,-1.41749,-1.13321,-0.50106,2,Dimension 1
10010294,Newfoundland & Labrador,0.99777,-1.98862,0.25475,-0.24537,2,Dimension 1
10010295,Newfoundland & Labrador,1.04535,-1.13603,0.35867,0.08933,3,Dimension 1
10010296,Newfoundland & Labrador,0.69023,-1.7461,-1.13649,-0.73079,1,Dimension 1
