DAUID,CISV Dimension 1 Scores,CISV Dimension 2 Scores,CISV Dimension 3 Scores,CISV Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension
24661756,0.30137,-0.42747,0.05616,0.47305,0.10078,4,Dimension 4
24661757,0.14813,-0.81872,-0.38297,0.47022,-0.14583,3,Dimension 4
24661758,0.21767,-0.99929,0.21857,0.71319,0.03753,3,Dimension 4
24661759,0.51968,-0.57711,0.4303,1.33984,0.42818,5,Dimension 4
24661760,-0.04149,-1.37466,-0.2539,0.95981,-0.17756,3,Dimension 4
24661761,-0.0485,-1.03035,-0.28244,0.85825,-0.12576,3,Dimension 4
24661762,0.17637,-0.58842,-0.19789,0.85628,0.06159,4,Dimension 4
24661763,0.38911,-0.61022,0.94302,0.8612,0.39578,4,Dimension 3
24661764,0.80603,-1.15857,0.13689,1.42072,0.30127,4,Dimension 4
24661765,0.42043,0.30406,-0.00819,0.46345,0.29494,4,Dimension 4
24661766,0.08126,-1.10464,0.00051,0.34611,-0.16919,3,Dimension 4
24661767,0.10991,-1.15914,-0.33706,0.51416,-0.21803,2,Dimension 4
24661768,0.49576,-0.97441,0.27968,0.45379,0.06371,4,Dimension 1
24661769,-0.13807,-1.92684,0.01154,1.27935,-0.19351,3,Dimension 4
24661770,-0.24381,-0.96001,0.07784,1.04036,-0.0214,3,Dimension 4
24661771,0.71583,-0.09071,0.20483,0.85766,0.4219,5,Dimension 4
24661772,0.19216,-0.92933,-0.20607,0.85598,-0.02181,3,Dimension 4
24661773,0.2467,-0.2917,0.64145,0.3322,0.23216,4,Dimension 3
24661774,0.48544,-0.85185,-0.05709,1.33079,0.22682,4,Dimension 4
24661775,-0.09954,0.26253,-0.67133,-0.02584,-0.13355,3,Dimension 2
24661776,0.43964,-1.18992,0.05336,1.03546,0.08464,4,Dimension 4
24661777,-0.33237,-0.79413,-0.39898,0.67656,-0.21223,2,Dimension 4
24661778,0.85327,0.87926,-0.99053,1.26848,0.50262,5,Dimension 4
24661779,0.25739,-0.90343,-0.46873,1.3552,0.06011,4,Dimension 4
24661780,0.57602,-1.11887,-0.13477,1.22117,0.13589,4,Dimension 4
24661781,0.46388,-1.47485,0.7727,1.69128,0.36325,4,Dimension 4
24661782,0.29334,-0.70983,-0.40993,0.9694,0.03574,3,Dimension 4
24661783,0.52708,-0.7708,0.47727,0.47709,0.17766,4,Dimension 1
24661784,0.87324,-0.64351,0.55616,0.58958,0.34387,4,Dimension 1
24661785,1.03684,-0.22103,0.41506,1.06119,0.57301,5,Dimension 4
24661786,1.7776,0.04227,1.10102,1.08647,1.00184,5,Dimension 1
24661787,0.49004,-1.73633,0.05932,0.8143,-0.09317,3,Dimension 4
24661788,0.50993,0.73003,0.05816,1.4091,0.6768,5,Dimension 4
24661789,0.21184,-0.90081,-0.20435,0.48259,-0.10268,3,Dimension 4
24661790,1.06597,-0.88081,0.44663,1.74137,0.59329,5,Dimension 4
24661791,0.4826,-1.28162,-0.75237,0.82071,-0.18267,3,Dimension 4
24661792,0.49054,-0.95343,0.15625,0.46023,0.0384,3,Dimension 1
24661793,-0.08221,-1.0344,-0.21897,0.41457,-0.23025,2,Dimension 4
24661794,0.85223,-0.8392,-0.71789,1.61876,0.22848,4,Dimension 4
24661795,0.35273,-1.08038,-0.60075,1.13901,-0.04735,3,Dimension 4
24661796,0.23416,-1.18433,-0.17817,0.74601,-0.09558,3,Dimension 4
24661797,0.85588,-1.5362,-0.38926,1.41957,0.0875,4,Dimension 4
24661798,0.0415,-1.51835,-1.06123,0.73968,-0.4496,2,Dimension 4
24661799,1.11369,-0.39693,0.84909,2.322,0.97196,5,Dimension 4
24661800,0.78752,0.73038,0.12659,1.8004,0.86122,5,Dimension 4
24661801,0.54373,-1.38012,-0.1462,0.37996,-0.15066,3,Dimension 1
24661802,0.49614,-0.56133,-0.58375,0.15197,-0.12424,3,Dimension 1
24661803,-0.15468,-1.2765,-0.4723,0.65903,-0.31111,2,Dimension 4
24661804,0.62398,0.8757,-0.48758,0.55938,0.39287,4,Dimension 2
24661805,0.14615,-1.42308,-0.51563,0.77163,-0.25523,2,Dimension 4
24661806,0.05062,-1.12291,-0.93123,0.23425,-0.44232,2,Dimension 4
24661807,0.56101,-1.02718,-0.79122,0.69734,-0.14001,3,Dimension 4
24661808,-0.09186,-1.81949,-0.34024,0.88634,-0.34132,2,Dimension 4
24661809,0.07335,-1.00383,-0.04384,0.54062,-0.10843,3,Dimension 4
24661810,-0.08882,-1.35572,-0.98035,0.30791,-0.52925,1,Dimension 4
24661811,0.50197,-1.1055,-0.29171,1.14413,0.06222,4,Dimension 4
24661812,0.15762,-1.88284,-0.25587,0.28089,-0.42505,2,Dimension 4
24661813,0.43013,-0.84742,-0.1554,0.36859,-0.05102,3,Dimension 1
24661814,0.10296,-1.48397,-0.5735,1.06206,-0.22312,2,Dimension 4
24661815,-0.17184,-0.66322,-1.03687,0.21715,-0.41369,2,Dimension 4
24661816,0.47138,-1.06617,-1.09223,0.82281,-0.21605,2,Dimension 4
24661817,0.80004,-0.95402,-0.64722,1.20395,0.10069,4,Dimension 4
24661818,0.49164,-0.01899,0.1516,2.62073,0.81124,5,Dimension 4
24661819,-0.03106,-1.26977,-0.54714,0.326,-0.38049,2,Dimension 4
24661820,0.07819,-1.39246,-0.88853,0.33194,-0.46771,1,Dimension 4
24661821,0.11573,-1.16046,-0.86438,0.52776,-0.34534,2,Dimension 4
24661822,0.31954,-1.43421,-0.59838,0.97754,-0.18388,3,Dimension 4
24661823,0.33127,-1.09769,-0.46492,0.64052,-0.14771,3,Dimension 4
24661824,0.055,-1.58719,-0.79525,0.16387,-0.54089,1,Dimension 4
24661825,0.27756,-1.18064,-0.95713,0.93656,-0.23092,2,Dimension 4
24661826,0.10486,-1.13256,-0.52443,0.41381,-0.28458,2,Dimension 4
24661827,0.12108,-1.48114,-0.77229,0.41175,-0.43015,2,Dimension 4
24661828,0.26288,-1.21239,-0.61382,0.44357,-0.27994,2,Dimension 4
24661829,0.34866,0.99874,-0.70753,1.09298,0.43321,5,Dimension 4
24661830,0.49359,-0.82553,-1.20837,0.55735,-0.24574,2,Dimension 4
24661831,-0.04848,-0.0738,-1.16687,-0.19028,-0.36986,2,Dimension 1
24661832,0.59828,-0.33212,-1.15405,1.66017,0.19307,4,Dimension 4
24661833,0.56304,0.3,-1.16428,1.19492,0.22342,4,Dimension 4
24661834,0.32549,-0.90278,-0.84256,1.0635,-0.08909,3,Dimension 4
24661835,0.65547,-0.35323,-0.55578,0.69877,0.11131,4,Dimension 4
24661836,1.03363,-0.18581,-1.27523,0.47745,0.01251,3,Dimension 1
24661837,-0.01748,-0.83581,-0.68337,-0.23125,-0.44198,2,Dimension 1
24661838,0.02765,-1.53879,-0.71418,0.53075,-0.42364,2,Dimension 4
24661839,0.35878,-1.0726,-0.30957,0.52655,-0.12421,3,Dimension 4
24661840,0.05548,-0.67211,-0.73894,0.15399,-0.3004,2,Dimension 4
24661841,0.37467,-1.30958,-0.78841,1.34847,-0.09371,3,Dimension 4
24661842,1.2865,1.80555,0.21448,1.18084,1.12184,5,Dimension 2
24661843,0.64984,-0.3541,-0.32609,0.72376,0.17335,4,Dimension 4
24661844,0.81428,-1.37151,-0.23924,1.41748,0.15526,4,Dimension 4
24661845,0.19339,-0.52212,-0.79266,0.07891,-0.26062,2,Dimension 1
24661846,0.19165,-0.69317,-1.32236,0.72658,-0.27432,2,Dimension 4
24661847,0.82306,-0.88015,-0.46721,0.67731,0.03825,3,Dimension 1
24661848,1.49696,-0.4775,-1.35784,1.93134,0.39824,4,Dimension 4
24661849,0.08426,-0.42948,-0.29304,0.37563,-0.06566,3,Dimension 4
24661850,1.60975,1.19827,0.08025,2.3094,1.29942,5,Dimension 4
24661851,0.43739,-1.12817,-0.25528,0.64594,-0.07503,3,Dimension 4
24661852,0.62368,0.11304,-0.27848,1.16508,0.40583,4,Dimension 4
24661853,0.68673,-0.87165,0.68497,1.39675,0.4742,5,Dimension 4
24661854,0.44713,1.11846,-0.02978,1.09259,0.6571,5,Dimension 2
24661855,0.35078,-1.40098,0.67844,0.94272,0.14274,4,Dimension 4
24661856,-0.25451,-2.08917,-0.27469,1.46917,-0.2873,2,Dimension 4
24661857,0.24865,-2.39025,0.24702,0.99899,-0.2239,2,Dimension 4
24661858,1.28328,-0.99524,-0.44442,1.74013,0.39594,4,Dimension 4
24661859,1.06426,-0.06137,-0.1415,1.74982,0.6528,5,Dimension 4
24661860,1.83334,2.46468,0.45088,1.65434,1.60081,5,Dimension 2
24661861,0.47611,-1.73138,-0.30325,1.04389,-0.12866,3,Dimension 4
24661862,0.54636,-1.46639,0.68821,1.47578,0.31099,4,Dimension 4
24661863,0.40078,-0.775,0.36856,1.30825,0.32565,4,Dimension 4
24661864,0.26036,2.61629,-0.86466,1.34019,0.83804,5,Dimension 2
24661865,0.15607,-1.42206,0.00151,0.84457,-0.10498,3,Dimension 4
24661866,0.21225,-1.15822,-0.41037,0.88273,-0.1184,3,Dimension 4
24661867,0.69094,-0.41846,-0.29569,1.46804,0.36121,4,Dimension 4
24661868,1.82731,-1.06775,-0.44691,2.47173,0.6961,5,Dimension 4
24661869,1.04523,-0.74323,0.41969,2.38633,0.777,5,Dimension 4
24661870,0.62235,-1.28233,-0.32255,1.13979,0.03931,3,Dimension 4
24661871,0.70944,-1.22597,-0.2887,1.89436,0.27228,4,Dimension 4
24661872,0.48957,-0.70249,0.99215,3.44231,1.05539,5,Dimension 4
24661873,2.2709,-0.4679,3.13553,0.12174,1.26506,5,Dimension 3
24661874,0.39735,-0.90892,0.63212,0.83391,0.23861,4,Dimension 4
24661877,0.58472,-0.14238,1.00573,0.74643,0.54862,5,Dimension 3
24661879,0.30519,-1.3147,0.0905,0.56099,-0.08951,3,Dimension 4
24661880,0.03912,-1.33584,0.24376,1.08711,0.00854,3,Dimension 4
24661881,0.45675,-0.97294,-0.16725,0.32717,-0.08907,3,Dimension 1
24661882,0.29735,-1.82074,-0.32828,1.63532,-0.05409,3,Dimension 4
24661883,0.84559,-1.03179,0.38361,2.85031,0.76193,5,Dimension 4
24661884,0.70518,-0.56056,0.31156,0.47648,0.23317,4,Dimension 1
24661885,0.51048,-1.20688,0.42385,0.89889,0.15658,4,Dimension 4
24661886,0.56387,1.04338,-0.35843,0.45687,0.42642,5,Dimension 2
24661887,0.21455,-0.87432,0.34342,0.54077,0.0561,4,Dimension 4
24661889,1.15488,0.13358,-0.90218,1.79611,0.5456,5,Dimension 4
24661890,0.41241,-2.10886,-0.80867,1.28591,-0.3048,2,Dimension 4
24661891,0.47933,-1.74124,-0.63147,1.33435,-0.13976,3,Dimension 4
24661892,0.00085,-1.68474,-0.41285,0.89098,-0.30144,2,Dimension 4
24661893,0.12955,-1.17976,-0.18633,1.37776,0.0353,3,Dimension 4
24661894,0.39848,-1.23576,-1.14503,0.71057,-0.31794,2,Dimension 4
24661895,0.53857,-1.33123,-0.6294,1.38815,-0.00848,3,Dimension 4
24661896,0.78949,-1.03905,-1.13445,1.72793,0.08598,4,Dimension 4
24661897,0.17909,-0.84814,-0.75021,0.76042,-0.16471,3,Dimension 4
24661898,0.44513,-0.56544,-0.79557,0.86746,-0.0121,3,Dimension 4
24661899,0.53612,-0.60173,-1.01717,1.43028,0.08688,4,Dimension 4
24661900,0.46758,-1.06543,-0.74767,0.94044,-0.10127,3,Dimension 4
24661901,-0.01886,-1.79395,-0.6849,0.15039,-0.58683,1,Dimension 4
24661902,0.20633,-0.83965,-0.51541,0.90467,-0.06102,3,Dimension 4
24661903,0.90779,-1.32398,-0.63099,2.26817,0.30525,4,Dimension 4
24661904,0.1046,-0.92028,-1.10013,0.29045,-0.40634,2,Dimension 4
24661905,0.01273,-1.01787,-1.15596,0.24791,-0.4783,1,Dimension 4
24661906,0.1064,-1.28955,-0.81319,0.65409,-0.33556,2,Dimension 4
24661907,0.25777,-0.57797,-0.93318,0.01588,-0.30937,2,Dimension 1
24661908,0.16025,-1.30845,-1.02199,0.18978,-0.4951,1,Dimension 4
24661909,0.68306,-1.22082,-0.26437,0.92444,0.03058,3,Dimension 4
24661910,-0.43573,-0.68175,-1.10777,-0.13087,-0.58903,1,Dimension 4
24661911,0.1076,-0.86085,-1.24907,0.4794,-0.38073,2,Dimension 4
24661912,0.24948,-1.7186,-0.73808,1.25277,-0.23861,2,Dimension 4
24661913,0.01304,-1.00819,-0.62309,-0.09977,-0.4295,2,Dimension 1
24661916,0.92063,-0.30692,0.52206,1.28226,0.60451,5,Dimension 4
24661917,0.15077,-0.1613,-0.23762,0.62637,0.09456,4,Dimension 4
24661918,-0.00671,0.36505,0.21907,1.47561,0.51326,5,Dimension 4
24661919,0.51256,0.82698,1.02708,0.6524,0.75476,5,Dimension 3
24661920,0.02737,0.13667,0.42354,0.66953,0.31428,4,Dimension 4
24661921,0.21642,-0.72719,-0.15551,0.36057,-0.07643,3,Dimension 4
24661922,0.26679,0.51927,1.06866,1.35089,0.8014,5,Dimension 4
24661926,0.6463,-1.36495,-0.73556,1.86797,0.10344,4,Dimension 4
24661927,0.71068,-0.90446,-0.65463,0.88463,0.00906,3,Dimension 4
24661928,1.51506,-1.14111,-0.88701,1.95501,0.36049,4,Dimension 4
24661929,0.81612,2.47024,-1.44928,2.14517,0.99556,5,Dimension 2
24661936,0.83555,-1.00394,-0.44212,1.77935,0.29221,4,Dimension 4
24661937,0.68303,-0.32513,-1.18455,0.92878,0.02553,3,Dimension 4
24661940,1.48874,-0.24941,-0.15244,1.34556,0.60812,5,Dimension 1
24661941,1.66338,-0.32361,-0.51701,2.26606,0.77221,5,Dimension 4
24661942,0.23731,-1.03005,-0.33227,0.58036,-0.13616,3,Dimension 4
24661943,2.30611,-0.71827,0.02072,2.57644,1.04625,5,Dimension 4
24661944,0.21662,0.99367,0.31195,0.08419,0.40161,4,Dimension 2
24661945,1.18607,-0.83798,0.08054,2.20365,0.65807,5,Dimension 4
24661946,0.69843,-0.15641,-0.27979,1.58241,0.46116,5,Dimension 4
24661947,0.77352,-0.99421,0.02492,1.63184,0.35901,4,Dimension 4
24661948,0.78215,-0.57062,-0.60625,0.20254,-0.04805,3,Dimension 1
24661949,0.27844,-0.55065,-0.69214,0.23957,-0.1812,3,Dimension 1
24661950,0.91822,-0.95761,-0.47951,0.62863,0.02743,3,Dimension 1
24661953,0.24094,-0.86102,-0.6332,0.22242,-0.25772,2,Dimension 1
24661954,0.23018,-0.66327,-0.40717,0.8268,-0.00336,3,Dimension 4
24661955,0.57962,-1.07124,-0.87522,0.96362,-0.10081,3,Dimension 4
24661956,0.39268,-0.18937,-1.22987,0.48368,-0.13572,3,Dimension 4
24661957,0.51271,-0.4727,-0.90789,1.01434,0.03662,3,Dimension 4
24661958,1.06171,-0.97718,0.09522,1.67385,0.4634,5,Dimension 4
24661959,0.80236,-0.04408,-0.40514,0.71186,0.26625,4,Dimension 1
24661960,0.41511,-1.04546,-0.66597,1.51064,0.05358,4,Dimension 4
24661961,0.49618,-0.60483,-0.61094,0.88473,0.04128,3,Dimension 4
24661962,0.846,1.37101,-0.74165,0.93211,0.60187,5,Dimension 2
24661963,0.99253,-1.34691,0.42044,0.80578,0.21796,4,Dimension 1
24661964,0.42434,-0.4302,-0.66663,0.4499,-0.05564,3,Dimension 4
24661965,0.58113,-1.59652,-0.59006,1.80173,0.04907,4,Dimension 4
24661966,0.00062,-1.38962,-0.98647,0.48118,-0.47357,1,Dimension 4
24661967,0.36103,-0.9893,-0.25136,0.66648,-0.05329,3,Dimension 4
24661968,0.55308,-0.96149,0.28653,0.70451,0.14566,4,Dimension 4
24661969,0.07623,-0.93042,0.0656,0.76306,-0.00638,3,Dimension 4
24661970,0.06389,-1.42694,-0.37793,0.43537,-0.3264,2,Dimension 4
24661971,0.13497,-1.01984,0.17718,1.20365,0.12399,4,Dimension 4
24661972,0.27532,-1.01008,-0.19522,1.11929,0.04733,3,Dimension 4
24661973,0.53581,-0.39733,-0.12709,0.87325,0.22116,4,Dimension 4
24661974,0.18129,-0.34295,-0.48219,0.17863,-0.11631,3,Dimension 1
24661975,-0.20009,-0.72679,-0.71662,-0.46946,-0.52824,1,Dimension 1
24661976,0.06788,-0.46556,-0.42978,-0.37124,-0.29967,2,Dimension 1
24661977,-0.1695,-0.31473,-0.29228,0.20417,-0.14308,3,Dimension 4
24661978,-0.08321,-0.41005,-0.89032,-0.12425,-0.37696,2,Dimension 1
24661979,-0.25214,-0.61018,-0.45535,0.30688,-0.2527,2,Dimension 4
24661980,-0.26507,-0.05744,-0.60442,0.42017,-0.12669,3,Dimension 4
24661981,0.16216,-0.10505,-0.68072,0.06915,-0.13861,3,Dimension 1
24661982,-0.02941,-0.25978,-0.68775,-0.35302,-0.33249,2,Dimension 1
24661983,0.41044,-0.40012,-0.20187,0.64969,0.11454,4,Dimension 4
24661984,-0.18339,-0.54,-0.48825,-0.41928,-0.40773,2,Dimension 1
24661985,0.87964,0.10313,1.11909,1.66295,0.9412,5,Dimension 4
24661986,0.57202,-0.68198,0.77861,0.81148,0.37004,4,Dimension 4
24661987,-0.22338,-1.41968,-0.4747,0.38513,-0.43316,2,Dimension 4
24661988,0.00943,-0.74308,-0.75616,0.02991,-0.36498,2,Dimension 4
24661989,-0.10158,-0.79785,-0.71854,0.18698,-0.35775,2,Dimension 4
24661990,0.37679,1.75096,-0.00614,1.76167,0.97082,5,Dimension 4
24661991,0.07255,-0.57243,-0.73601,0.32299,-0.22823,2,Dimension 4
24661992,0.62022,0.67827,-0.29271,0.4948,0.37515,4,Dimension 2
24661993,-0.00327,-1.19313,-0.85614,0.50857,-0.38599,2,Dimension 4
24661994,-0.17324,-0.68777,-0.16204,0.71336,-0.07742,3,Dimension 4
24661995,0.06444,-0.1272,-0.04512,0.50751,0.09991,4,Dimension 4
24661996,-0.11124,-0.62337,-0.5929,0.55822,-0.19233,3,Dimension 4
24661997,0.2193,-0.30824,-0.56338,1.02663,0.09358,4,Dimension 4
24661998,0.11793,-0.80836,-0.49623,0.49232,-0.17358,3,Dimension 4
24661999,0.18344,-0.50198,-0.797,0.24857,-0.21674,2,Dimension 4
24662000,-0.06262,-0.64828,-0.36604,-0.24888,-0.33146,2,Dimension 1
24662001,0.49216,-0.13872,-0.25711,0.15213,0.06212,4,Dimension 1
24662002,1.1129,1.18136,2.01604,1.37821,1.42213,5,Dimension 3
24662003,0.88798,1.29227,0.00893,1.43246,0.90541,5,Dimension 4
24662004,0.59712,0.22127,-0.42752,0.04109,0.10799,4,Dimension 1
24662005,0.40286,0.10177,-0.63973,0.40293,0.06696,4,Dimension 4
24662006,0.38075,0.0107,-0.56858,0.21345,0.00908,3,Dimension 1
24662007,0.55969,0.03446,-0.30117,0.62498,0.22949,4,Dimension 4
24662008,-0.14149,-0.5846,-0.75747,0.18985,-0.32343,2,Dimension 4
24662009,0.35245,0.26912,-0.21138,-0.11885,0.07283,4,Dimension 1
24662010,0.08567,-0.46611,-0.43603,-0.16391,-0.2451,2,Dimension 1
24662011,0.08969,-0.19682,-0.64519,0.00635,-0.18649,3,Dimension 1
24662012,0.06936,0.60952,-0.48497,0.47823,0.16804,4,Dimension 2
24662013,0.52772,0.0323,-0.70801,0.68393,0.13399,4,Dimension 4
24662014,0.69596,-0.7235,-0.37862,0.4773,0.01779,3,Dimension 1
24662015,-0.11657,0.00032,-0.35531,-0.09071,-0.14057,3,Dimension 2
24662016,-0.07132,-0.81026,-0.60418,0.10608,-0.34492,2,Dimension 4
24662017,-0.21078,-0.37075,-0.64339,0.5388,-0.17153,3,Dimension 4
24662018,0.0157,-0.75112,-0.34397,0.39017,-0.1723,3,Dimension 4
24662019,0.1081,-0.57492,-0.59755,0.58763,-0.11919,3,Dimension 4
24662020,0.23773,-0.48524,-0.07437,0.83612,0.12856,4,Dimension 4
24662021,0.75105,-1.72418,-0.36754,0.50139,-0.20982,2,Dimension 1
24662022,0.11342,-1.06897,-0.45584,0.29694,-0.27861,2,Dimension 4
24662024,0.88399,2.74854,-1.95636,1.4718,0.78699,5,Dimension 2
24662025,1.00815,-0.09738,-0.17653,0.25143,0.24642,4,Dimension 1
24662026,1.20981,-0.88561,0.36649,1.18905,0.46994,5,Dimension 1
24662027,-0.10761,-1.3634,-0.78693,0.67839,-0.39489,2,Dimension 4
24662028,0.63563,-0.78557,-0.74596,0.96606,0.01754,3,Dimension 4
24662029,0.61087,-0.8861,-0.19868,0.7845,0.07765,4,Dimension 4
24662030,0.52532,-0.8066,-0.61119,0.56129,-0.08279,3,Dimension 4
24662031,0.50415,-1.0317,0.11298,0.42021,0.00141,3,Dimension 1
24662032,0.12488,-0.88275,-0.2455,0.16829,-0.20877,2,Dimension 4
24662033,0.07013,-1.56921,-0.60531,0.62282,-0.37039,2,Dimension 4
24662034,-0.27768,-1.43731,-0.85812,-0.45174,-0.75621,1,Dimension 1
24662035,0.17946,-0.37567,0.03088,-0.0921,-0.06436,3,Dimension 1
24662036,-0.18965,-0.78268,-1.3522,0.02128,-0.57581,1,Dimension 4
24662037,0.17886,1.53365,-0.56817,-0.24252,0.22545,4,Dimension 2
24662038,0.62808,0.92011,-0.99797,0.206,0.18905,4,Dimension 2
24662039,-0.15777,-0.11054,-1.2162,-0.55165,-0.50904,1,Dimension 2
24662040,0.35439,1.27267,-0.03081,0.12415,0.4301,5,Dimension 2
24662041,0.17389,-1.13654,-0.29485,0.9679,-0.0724,3,Dimension 4
24662042,0.71393,-0.32713,-0.52972,0.56644,0.10588,4,Dimension 1
24662043,1.78285,-2.17608,0.40436,1.7785,0.44741,5,Dimension 1
24662044,0.99821,-1.65064,0.10843,1.10897,0.14124,4,Dimension 4
24662045,0.31805,-0.90677,-0.37656,0.75818,-0.05177,3,Dimension 4
24662046,0.00114,-0.43964,-0.55736,0.47536,-0.13013,3,Dimension 4
24662047,0.319,0.0292,-0.50467,0.63506,0.11965,4,Dimension 4
24662048,0.59305,0.34838,-0.86588,1.53583,0.40284,4,Dimension 4
24662049,0.22849,-0.84404,-0.6675,0.88485,-0.09955,3,Dimension 4
24662050,-0.33961,-1.23292,-0.77066,0.12375,-0.55486,1,Dimension 4
24662051,1.32097,-0.15396,-0.18582,1.40649,0.59692,5,Dimension 4
24662052,0.90476,-0.38409,0.22478,0.62439,0.34246,4,Dimension 1
24662053,-0.38646,-0.84295,-0.27897,0.62701,-0.22034,2,Dimension 4
24662054,-0.05481,-0.23675,-0.86233,0.49859,-0.16382,3,Dimension 4
24662055,0.96669,0.46447,-0.40777,0.97106,0.49861,5,Dimension 4
24662056,0.40507,-1.14544,0.39257,0.98517,0.15934,4,Dimension 4
24662057,2.16866,1.47867,3.04747,0.4187,1.77837,5,Dimension 3
24662058,0.00383,-0.86916,-0.61086,-0.6128,-0.52225,1,Dimension 1
24662064,0.01128,0.11439,-0.64821,0.1626,-0.08999,3,Dimension 4
24662065,0.21589,-0.81533,0.01791,0.73353,0.038,3,Dimension 4
24662066,0.22239,-0.42215,-0.52045,0.23806,-0.12054,3,Dimension 4
24662069,0.98116,-1.07906,-0.26167,0.05181,-0.07694,3,Dimension 1
24662070,0.48308,-0.38165,-0.49308,-0.13658,-0.13206,3,Dimension 1
24662071,0.56619,0.06836,0.12601,0.41073,0.29282,4,Dimension 1
24662072,0.14691,-1.04964,-0.35448,0.43506,-0.20554,2,Dimension 4
24662073,0.23767,1.24862,-0.37496,-0.04232,0.26725,4,Dimension 2
24662074,0.48742,-0.12524,0.0108,0.31545,0.17211,4,Dimension 1
24662075,0.85712,0.17403,1.16575,0.45042,0.66183,5,Dimension 3
24662076,0.57006,-0.68925,0.18734,0.4023,0.11761,4,Dimension 1
24662077,0.52225,-0.04716,-0.18186,0.30333,0.14914,4,Dimension 1
24662078,0.44185,0.06586,-0.30233,0.6312,0.20914,4,Dimension 4
24662079,0.58687,-0.04802,0.00765,-0.29951,0.06175,4,Dimension 1
24662080,0.37085,-0.27789,0.00502,0.47077,0.14218,4,Dimension 4
24662081,1.04645,-0.21537,-0.19466,0.62794,0.31609,4,Dimension 1
24662082,0.88842,0.90745,0.08433,0.71797,0.64954,5,Dimension 2
24662083,1.14357,1.4897,-0.07835,1.06188,0.9042,5,Dimension 2
24662084,0.42895,0.11634,-0.42924,-0.13588,-0.00496,3,Dimension 1
24662085,0.41681,0.12551,-0.51946,0.32638,0.08731,4,Dimension 1
24662086,0.72281,0.34365,-0.10842,0.24516,0.3008,4,Dimension 1
24662087,1.86452,0.31826,0.88882,0.78845,0.96501,5,Dimension 1
24662088,1.55123,0.81322,1.78774,0.21441,1.09165,5,Dimension 3
24662089,1.0536,3.42884,-1.14881,0.49649,0.95753,5,Dimension 2
24662090,0.04089,-0.24847,-0.54819,-0.25149,-0.25182,2,Dimension 1
24662091,0.29731,-0.3949,-0.31224,0.486,0.01904,3,Dimension 4
24662092,-0.06417,-0.6798,-0.39606,0.26638,-0.21841,2,Dimension 4
24662093,0.43987,-0.92309,-0.13566,0.23881,-0.09502,3,Dimension 1
24662094,-0.03977,-1.07629,-0.19778,0.1911,-0.28068,2,Dimension 4
24662095,-0.19395,-0.37651,-0.76826,0.13862,-0.30002,2,Dimension 4
24662096,0.05855,-1.00954,-0.1554,0.08493,-0.25536,2,Dimension 4
24662097,-0.05523,-0.74106,-0.60768,0.15936,-0.31115,2,Dimension 4
24662098,-0.03837,0.08002,-0.87159,-0.21059,-0.26013,2,Dimension 2
24662099,-0.03731,-0.05372,-1.08391,0.29609,-0.21971,2,Dimension 4
24662100,0.23397,-0.68826,-0.39065,0.50357,-0.08534,3,Dimension 4
24662101,0.03346,-0.37336,-1.09018,-0.26946,-0.42488,2,Dimension 1
24662102,-0.18473,-1.76441,-0.63478,0.45901,-0.53123,1,Dimension 4
24662103,-0.11389,0.57682,-0.72603,-0.00787,-0.06774,3,Dimension 2
24662104,0.51853,0.52449,-0.39895,0.28576,0.23246,4,Dimension 2
24662105,0.64393,0.46317,-0.07465,-0.22091,0.20288,4,Dimension 1
24662106,0.36634,0.04282,-0.909,-0.50535,-0.2513,2,Dimension 1
24662108,1.12187,-1.06215,0.09436,-0.19634,-0.01056,3,Dimension 1
24662109,1.10385,-0.41623,0.41978,0.65014,0.43939,5,Dimension 1
24662110,1.19626,-0.57097,0.3203,1.29352,0.55978,5,Dimension 4
24662111,0.04937,-0.16747,-1.09897,-0.36601,-0.39577,2,Dimension 1
24662112,1.23467,2.02974,-1.21479,0.03863,0.52206,5,Dimension 2
24662113,0.13473,-0.85167,-1.14948,-2.99944,-1.21646,1,Dimension 1
24662114,1.28322,-1.21538,-1.02291,1.80029,0.2113,4,Dimension 4
24662115,2.23442,0.19929,-1.35965,1.17601,0.56252,5,Dimension 1
24662116,3.51486,4.47157,-0.93224,0.30975,1.84098,5,Dimension 2
24662117,-0.04215,-0.18452,-0.53379,-0.58547,-0.33648,2,Dimension 1
24662118,-0.336,-0.68464,-0.13091,-1.02783,-0.54485,1,Dimension 3
24662119,-0.36998,-0.25069,-1.24478,-0.97896,-0.71111,1,Dimension 2
24662120,-0.08415,-0.11293,-0.87087,-0.23414,-0.32552,2,Dimension 1
24662121,-0.27093,0.31617,-0.61302,-0.74533,-0.32828,2,Dimension 2
24662122,-0.31993,-0.78635,-1.17321,-0.99181,-0.81782,1,Dimension 1
24662123,0.02656,0.48096,-0.84115,-0.26383,-0.14936,3,Dimension 2
24662124,0.26906,-0.89783,-0.68958,0.26286,-0.26387,2,Dimension 1
24662125,0.55579,-0.94456,0.03108,1.19761,0.20998,4,Dimension 4
24662126,0.1278,-0.98911,-0.05261,0.35878,-0.13879,3,Dimension 4
24662127,0.69365,0.89166,1.38492,0.07486,0.76127,5,Dimension 3
24662128,0.72864,-0.61454,-0.36578,1.01729,0.1914,4,Dimension 4
