DAUID,CISV Dimension 1 Scores,CISV Dimension 2 Scores,CISV Dimension 3 Scores,CISV Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension
10010255,-0.04592,0.51172,-1.09332,0.75549,0.03199,3,Dimension 4
10010256,-0.59134,-0.11064,0.0395,0.75916,0.02417,3,Dimension 4
10010257,-0.68487,0.10776,-0.66613,-0.34275,-0.3965,2,Dimension 2
10010258,-0.97727,-0.09181,-0.48807,-0.32345,-0.47015,1,Dimension 2
10010259,-0.17767,0.5739,0.68036,1.14862,0.5563,5,Dimension 4
10010260,-0.84966,-0.22726,-0.24081,0.61793,-0.17495,3,Dimension 4
10010261,-0.6548,0.39032,-0.36217,-0.11624,-0.18572,3,Dimension 2
10010262,0.34317,-0.41527,0.33127,1.20338,0.36564,4,Dimension 4
10010263,-0.38582,0.21667,-0.30059,0.1212,-0.08713,3,Dimension 2
10010264,-0.30656,1.13102,-0.02473,1.23683,0.50914,5,Dimension 4
10010265,-0.96009,0.35776,-0.64476,-0.25302,-0.37503,2,Dimension 2
10010266,-0.25149,0.35455,0.16078,0.74498,0.2522,4,Dimension 4
10010267,-0.50389,0.14892,-0.47496,0.15777,-0.16804,3,Dimension 4
10010268,-0.6353,0.08636,-0.34135,-0.63959,-0.38247,2,Dimension 2
10010269,-0.807,-0.08988,-0.5012,-0.07356,-0.36791,2,Dimension 4
10010270,-0.23582,-0.00757,-0.21847,-0.31211,-0.19349,3,Dimension 2
10010271,-0.68602,-0.96718,-0.85163,-0.79813,-0.82574,1,Dimension 1
10010272,-0.67709,-0.79873,-0.37905,-1.62178,-0.86916,1,Dimension 3
10010273,-0.84065,-0.43021,-0.48918,-0.52982,-0.57246,1,Dimension 2
10010276,-0.36886,-0.12451,0.18545,0.35001,0.01052,3,Dimension 4
10010277,-0.05693,0.76774,0.21958,0.95772,0.47203,5,Dimension 4
10010278,-0.53067,-1.11112,0.39663,0.21089,-0.25857,2,Dimension 3
10010279,-0.6279,0.62284,-0.8125,-0.17074,-0.24708,2,Dimension 2
10010280,0.582,0.67292,0.96666,1.07749,0.82476,5,Dimension 4
10010281,0.06424,0.79772,0.29938,1.02752,0.54721,5,Dimension 4
10010282,0.79183,0.33015,1.47275,0.84776,0.86062,5,Dimension 3
10010283,0.18325,2.73827,-0.40753,1.97136,1.12134,5,Dimension 2
