CSDUID,CSD_name,outcome,n_DA,model_type,test_type,r2,aic,coef_json
1001485,,canopy_proportion_da,39,SAC,SAC,0.3991,109.05,"{""rho"":0.1408,""lambda"":0.5676,""(Intercept)"":-0.0202,""Ethno.cultural.Composition"":0.0425,""Economic.Dependency"":0.0023,""CISV.Scores"":0.1146,""total_area_km2_da"":0.4026}"
1001485,,canopy_proportion_road,39,SAC,SAC,0.5398,101.47,"{""rho"":0.0616,""lambda"":0.7368,""(Intercept)"":0.0333,""Ethno.cultural.Composition"":0.0112,""Economic.Dependency"":0.2939,""CISV.Scores"":-0.0026,""total_area_km2_road"":-0.0867}"
1001542,,canopy_proportion_da,44,OLS,OLS,0.1993,126.07,"{""(Intercept)"":9.4755e-17,""Ethno.cultural.Composition"":-0.0464,""Economic.Dependency"":0.4484,""CISV.Scores"":-0.0465,""total_area_km2_da"":-0.0821}"
1001542,,canopy_proportion_road,44,SLM,SLM,0.739,85.4,"{""rho"":0.7651,""(Intercept)"":0.0774,""Ethno.cultural.Composition"":0.1152,""Economic.Dependency"":0.3567,""CISV.Scores"":-0.1937,""total_area_km2_road"":-0.2334}"
1102075,,canopy_proportion_da,65,SAC,SAC,0.4575,166.37,"{""rho"":-0.114,""lambda"":0.6583,""(Intercept)"":0.1122,""Ethno.cultural.Composition"":0.0255,""Economic.Dependency"":0.3211,""CISV.Scores"":-0.5797,""total_area_km2_da"":-0.0984}"
1102075,,canopy_proportion_road,65,SLM,SLM,0.5077,158,"{""rho"":0.6619,""(Intercept)"":0.0415,""Ethno.cultural.Composition"":0.0283,""Economic.Dependency"":0.2099,""CISV.Scores"":-0.1825,""total_area_km2_road"":-0.2734}"
1306020,,canopy_proportion_da,31,OLS,OLS,0.5482,74.33,"{""(Intercept)"":-1.7788e-16,""Ethno.cultural.Composition"":-0.0201,""Economic.Dependency"":0.0602,""CISV.Scores"":-0.4339,""total_area_km2_da"":0.5408}"
1306020,,canopy_proportion_road,31,OLS,OLS,0.3331,86.4,"{""(Intercept)"":7.276e-17,""Ethno.cultural.Composition"":0.2581,""Economic.Dependency"":0.1734,""CISV.Scores"":-0.5288,""total_area_km2_road"":-0.5857}"
1307022,,canopy_proportion_da,114,SAC,SAC,0.4253,278.12,"{""rho"":0.308,""lambda"":0.191,""(Intercept)"":-0.0496,""Ethno.cultural.Composition"":0.0134,""Economic.Dependency"":-0.0423,""CISV.Scores"":-0.1592,""total_area_km2_da"":0.4344}"
1307022,,canopy_proportion_road,114,SLM,SLM,0.394,291.36,"{""rho"":0.6797,""(Intercept)"":0.0699,""Ethno.cultural.Composition"":-0.1121,""Economic.Dependency"":-0.0505,""CISV.Scores"":-0.1214,""total_area_km2_road"":-0.1847}"
1310032,,canopy_proportion_da,102,SLM,SLM,0.4803,240.04,"{""rho"":0.452,""(Intercept)"":-0.0034,""Ethno.cultural.Composition"":-0.0857,""Economic.Dependency"":0.0723,""CISV.Scores"":-0.268,""total_area_km2_da"":0.3247}"
